category,title,date,authors,url
Academic Papers,TimeBoost: Do Ahead-of-Time Auctions Work?,2025-11-23,"Akaki Mamageishvili, Christoph Schlegel (Flashbots), Ko Sunghun, Jinsuk Park, Ali Taslimi",https://arxiv.org/abs/2511.18328
ethresear.ch Post,Dynamic Penalties for ePBS,2025-11-19,"Christoph Schlegel, Bruno Mazorra",https://ethresear.ch/t/dynamic-penalties-for-epbs/23472
Academic Papers,Conditional Recall,2025-10-24,"Christoph Schlegel, Xinyuan Sun",https://arxiv.org/abs/2510.21904
Academic Papers,Cross-Chain Sealed-Bid Auctions Using Confidential Compute Blockchains,2025-10-22,"Jonas Gebele, Timm Mutzel, Burak Öz (Flashbots), Florian Matthes",https://arxiv.org/abs/2510.19491
Academic Papers,Attestation of Host Networking Stack for TEEs,2025-10-14,"Filip Rezabek, Moe Mahhouk",https://arxiv.org/abs/2510.12469
Academic Papers,The Free Option Problem of ePBS,2025-09-29,"Bruno Mazorra, Burak Öz, Christoph Schlegel, Quintus Kilbourn",https://arxiv.org/abs/2509.24849
Academic Papers,Geographic Decentralization Simulation,2025-09-25,"Burak Öz, Sen Yang",https://arxiv.org/abs/2509.21475v2
Academic Papers,Differentially Private Aggregate Hints in MEV-Share,2025-08-19,"Jonathan Passerat-Palmbach, Sarisht Wadhwa",https://arxiv.org/abs/2508.14284
Flashbots Collective Forum Posts,"The Free Option Problem in ePBS, Part II",2025-08-04,"Christoph Schlegel, Fei Wu, Burak Öz, Bruno Mazorra",https://collective.flashbots.net/t/the-free-option-problem-in-epbs-part-ii/5145
Academic Papers,Silent Threshold Encryption with One-Shot Adaptive Security,2025-07-29,"Mathias Hall-Andersen, Mark Simkin (Flashbots), Benedikt Wagner",https://ia.cr/2025/1384
Flashbots Collective Forum Posts,An MEV Perspective on Glamsterdam,2025-07-23,"Data Always, Hasu",https://collective.flashbots.net/t/an-mev-perspective-on-glamsterdam/5116
Flashbots Collective Forum Posts,The Free Option Problem in ePBS,2025-07-23,"Christoph Schlegel, Bruno Mazorra",https://collective.flashbots.net/t/the-free-option-problem-in-epbs/5115
Flashbots Collective Forum Posts,Detecting Cross-Chain Arbitrages in the Wild,2025-07-22,Burak Öz,https://collective.flashbots.net/t/detecting-cross-chain-arbitrages-in-the-wild/5107
Academic Papers,Arbitrage with Bounded Liquidity,2025-07-02,"Christoph Schlegel, Quintus Kilbourn",https://arxiv.org/abs/2507.02027
Academic Papers,Maximal Extractable Value in Batch Auctions,2025-07-02,"Mengqian Zhang, Yuhao Li, Xinyuan Sun (Flashbots), Elynn Chen, Xi Chen",https://dl.acm.org/doi/10.1145/3736252.3742581
Flashbots Collective Forum Posts,Defining Geographic Decentralisation,2025-06-27,Phil Daian,https://collective.flashbots.net/t/geographic-decentralisation-research-directions/5040
Flashbots Collective Forum Posts,The LVR Gap for Random Block Times,2025-06-26,Christoph Schlegel,https://collective.flashbots.net/t/the-lvr-gap-for-random-block-times-a-quick-and-useful-approximation/5038
Flashbots Collective Forum Posts,Fugitive Nodes,2025-06-19,Leo Arias,https://collective.flashbots.net/t/fugitive-nodes/4773
Flashbots Collective Forum Posts,RISC-V Explorations,2025-06-19,Leo Arias,https://collective.flashbots.net/t/risc-v/4793
Excalidraw,Counter Mapping,2025-06-19,Leo Arias,https://link.excalidraw.com/l/7Qr2ek3pfMQ/91UiAs0EApG
Academic Papers,Narrowing the Gap between TEEs Threat Model and Deployment Strategies,2025-06-17,"Filip Rezabek, Jonathan Passerat-Palmbach",https://arxiv.org/abs/2506.14964
Flashbots Writings,Scalable Oblivious Accesses to Blockchain Data,2025-06-02,"Afonso Tinoco (Flashbots), Tianyao Gu, Elaine Shi, Andrew Miller (Flashbots)",https://writings.flashbots.net/scalable-oblivious-accesses-to-blockchain-data
Academic Papers,Robust Distributed Arrays: Provably Secure Networking for Data Availability Sampling,2025-04-18,"Dankrad Feist, Gottfried Herold, Mark Simkin (Flashbots), Benedikt Wagner",https://arxiv.org/abs/2504.13757
Academic Papers,Encrypted Backruns,2025-04-14,Jonathan Passerat-Palmbach,https://fc25.ifca.ai/preproceedings/238.pdf
Flashbots Collective Forum Posts,The Block Auction Arms Race,2025-03-03,Data Always,https://collective.flashbots.net/t/the-block-auction-infrastructure-race/4734
Academic Papers,NDAI Agreements,2025-02-11,"Matthew Stephenson, Andrew Miller (Flashbots), Xyn Sun (Flashbots), Bhargav Annem, Rohan Parikh",https://arxiv.org/abs/2502.07924
Academic Papers,Cross-Chain Arbitrage,2025-01-28,"Burak Öz, Bruno Mazorra, Christoph Schlegel",https://arxiv.org/abs/2501.17335
Flashbots Collective Forum Posts,The Role of Relays in Reorgs,2024-12-20,Data Always,https://collective.flashbots.net/t/the-role-of-relays-in-reorgs/4247
Academic Papers,Liquefaction: Privately Liquefying Blockchain Assets,2024-12-03,"James Austgen, Andrés Fábrega, Mahimna Kelkar, Dani Vilardell, Sarah Allen (Flashbots), Kushal Babel, Jay Yu, Ari Juels",https://arxiv.org/abs/2412.02634
Flashbots Writings,ZTEE - Trustless Supply Chains,2024-11-08,"Quintus Kilbourn (Flashbots), Sylvain Bellemare, Bunnie, Michael Gao",https://writings.flashbots.net/ZTEE2-Supply-Chains
Flashbots Writings,Zero Trust Execution Environments,2024-10-11,"Quintus Kilbourn (Flashbots), Sylvain Bellemare, Jonathan Passerat-Palmbach, Andrew Miller (Flashbots)",https://writings.flashbots.net/ZTEE
ethresear.ch Post,Understanding Minimum Blob Base Fees,2024-09-25,Data Always,https://ethresear.ch/t/understanding-minimum-blob-base-fees/20489
Flashbots Collective Forum Posts,Proposing Rights Allocation “SoK”,2024-09-13,"Christoph Schlegel, Quintus Kilbourn",https://collective.flashbots.net/t/isolating-attesters-from-mev/3837
Flashbots Collective Forum Posts,Inelastic vs. Elastic Supply: Why PoS Could Be Less Centralizing Than Execution Tickets,2024-09-02,Christoph Schlegel,https://collective.flashbots.net/t/inelastic-vs-elastic-supply-why-proof-of-stake-could-be-less-centralizing-than-execution-tickets/3816
Academic Papers,On Sybil-proof Mechanisms,2024-07-19,"Minghao Pan (Flashbots), Bruno Mazorra (Flashbots), Christoph Schlegel (Flashbots), Akaki Mamageishvili",https://arxiv.org/abs/2407.14485
Academic Papers,Who Wins Ethereum Block Building Auctions and Why?,2024-07-18,"Burak Öz (Flashbots), Danning Sui (Flashbots), Thomas Thiery, Florian Matthes",https://arxiv.org/abs/2407.13931
Academic Papers,Searcher Competition in Block Building,2024-07-10,"Akaki Mamageishvili, Christoph Schlegel (Flashbots), Benny Sudakov, Danning Sui (Flashbots)",https://arxiv.org/abs/2407.07474
Flashbots Collective Forum Posts,Pricing Execution Rights when Rewards are Mean Reverting,2024-06-30,Christoph Schlegel,https://collective.flashbots.net/t/pricing-execution-rights-when-rewards-are-mean-reverting/3618
Academic Papers,OCash: Fully Anonymous Payments between Blockchain Light Clients,2024-02-15,"Adam Blatchley Hansen, Jesper Buus Nielsen, Mark Simkin (Flashbots)",https://ia.cr/2024/246
Academic Papers,Playing the MEV Game on a First-Come-First-Served Blockchain,2024-01-15,"Burak Öz (Flashbots), Jonas Gebele, Parshant Singh, Filip Rezabek (Flashbots), Florian Matthes",https://arxiv.org/abs/2401.07992
Flashbots Collective Forum Posts,When to Sell Your Blocks,2023-12-14,Quintus Kilbourn,https://collective.flashbots.net/t/when-to-sell-your-blocks/2814
Academic Papers,Cooperative AI via Decentralized Commitment Devices,2023-11-14,"Xinyuan Sun (Flashbots), Davide Crapis, Matt Stephenson, Barnabé Monnot, Thomas Thiery, Jonathan Passerat-Palmbach (Flashbots)",https://arxiv.org/abs/2311.07815
Academic Papers,"DAO Decentralization: Voting-Bloc Entropy, Bribery, and Dark DAOs",2023-11-06,"James Austgen, Andrés Fábrega, Sarah Allen (Flashbots), Kushal Babel, Mahimna Kelkar, Ari Juels",https://arxiv.org/abs/2311.03530
Academic Papers,A Study of MEV Extraction Techniques on a First-Come-First-Served Blockchain,2023-08-12,"Burak Öz (Flashbots), Jonas Gebele, Parshant Singh, Filip Rezabek, Florian Matthes",https://arxiv.org/abs/2308.06513
Academic Papers,Time Moves Faster When There is Nothing You Anticipate: The Role of Time in MEV Rewards,2023-07-11,"Burak Öz (Flashbots), Benjamin Kraner, Nicolò Vallarano, Bingle Stegmann Kruger, Florian Matthes, Claudio Juan Tessone",https://arxiv.org/abs/2307.05814
